"AT","AP","AH","AFDP","GTEP","TIT","TAT","TEY","CDP","CO","NOX"
11.102,1014.3,60.856,3.3699,29.471,1080,550,133.73,11.919,3.8694,69.596
17.31,1015.7,95.391,4.5421,24.872,1080.1,549.94,131.38,11.858,1.8402,57.732
8.9732,1016,80.185,3.9536,23.759,1084.2,550.01,134.03,11.861,0.88813,77.125
14.327,1022.4,63.135,5.2215,32.225,1100.1,529.96,159.38,13.987,0.84141,65.001
25.921,1007.4,61.803,4.3772,31.337,1099.9,541.22,150.53,13.415,1.0969,51.352
26.569,1008.4,91.112,4.1797,25.074,1086.2,549.95,129.24,11.888,3.0954,62.491
12.609,1015.9,72.626,3.1997,26.176,1081.2,550.02,135.15,11.947,2.7436,69.313
19.101,1008.6,83.062,4.3643,25.352,1089.7,550.16,134.26,12.03,2.4755,68.209
27.103,1016.4,58.562,4.0579,25.705,1092.6,549.83,133,12.179,0.35787,64.463
27.811,1013.7,63.154,4.6569,29.691,1100,545.56,147.17,13.191,1.1002,56.297
21.971,1013.6,78.865,2.7695,18.542,1038.8,547.44,102.06,10.171,7.5399,66.637
9.8415,1013.7,92.677,2.5865,19.067,1049.8,546.73,109.92,10.52,9.0272,107.27
6.7533,1024.9,73.658,4.0876,33.126,1100.1,532.22,163.22,14.1,2.4258,57.165
2.9401,1020,83.903,3.3356,22.95,1073,550.24,131.13,11.649,3.7762,68.682
2.6957,1024.9,92.129,4.6323,34.02,1099.9,528.87,167.23,14.255,2.2018,51.573
21.907,1006.3,99.965,4.2752,23.488,1078.3,550.07,125.31,11.41,4.9898,61.66
31.999,1011.2,46.161,4.7566,31.117,1100.2,536.54,148.19,13.456,0.90234,56.219
12.619,1020.2,94.349,3.7043,18.822,1048,545.71,108.39,10.448,7.6318,91.235
22.692,1011.9,87.6,3.8856,23.268,1068.7,550.18,121.95,11.428,2.2319,51.762
13.883,1017.8,96.755,3.2858,24.788,1086.6,549.8,133.22,11.909,1.5191,62.244
3.7498,1022,66.008,4.2154,33.606,1099.9,525.75,165.39,14.207,0.89271,70.614
18.414,1006.5,84.791,3.7157,24.336,1074.5,549.97,127.69,11.659,2.1807,52.356
21.16,1017.2,82.357,4.25,25.368,1091.4,550.15,134.41,12.179,1.4867,64.745
29.311,1014.2,53.771,4.247,29.768,1099.9,545.73,147.4,13.138,1.4889,48.098
24.43,1012.3,83.401,4.8452,29.15,1100.1,542.91,144.32,12.912,1.1859,63.877
10.666,1018.8,71.976,3.2003,23.156,1073.5,550.09,129.6,11.683,3.3779,63.487
20.634,1006.7,93.383,3.903,25.419,1079.6,549.93,130.26,11.905,1.8812,50.234
21.777,1005,67.008,2.8636,23.08,1076.7,549.65,125.1,11.463,0.62484,65.955
9.4506,1022.4,81.456,2.691,19.375,1040.4,538.92,109.21,10.485,10.318,105.8
26.33,1009.4,77.802,4.3376,29.163,1099.8,547.8,145.11,13.052,2.409,56.19
8.8681,1014.5,75.803,5.7664,32.848,1100.3,529.55,162.07,14.078,0.47775,64.629
14.454,1020.8,65.604,3.4764,20.439,1063.5,549.94,116.79,10.901,3.1604,77.129
30.423,1012.2,55.25,4.218,20.755,1062.1,550.12,109.97,10.712,2.8624,48.317
8.1112,1019.7,95.201,2.7831,19.541,1024,535.9,107.11,10.463,0.013199,101.61
26.103,1014.8,66.454,4.2032,25.865,1092.4,550.02,133.75,12.186,1.5131,65.904
33.591,1004.1,39.445,4.285,29.162,1099.8,548.5,145.18,12.989,1.9567,57.743
26.996,1006.2,58.16,4.3248,30.373,1099.7,544.36,148.64,13.289,2.0282,56.861
21.119,1010.9,77.8,4.4269,31.06,1100.2,535.69,153.44,13.481,0.89136,56.645
11.421,1026.4,99.687,5.2674,26.369,1097.3,549.94,141.73,12.341,0.55984,77.197
9.7005,1029.9,79,3.4516,24.489,1078.9,547.45,135.15,12.024,5.8895,64.892
6.5067,1024,78.887,4.0402,32.615,1100.1,533.96,162.07,13.963,2.5887,59.338
16.489,1003.6,72.429,4.0536,20.161,1058.8,550.08,113.33,10.673,3.9735,72.187
21.125,1007.3,84.839,3.6736,19.786,1057.3,549.93,109.88,10.496,4.8467,55.909
15.629,1022.1,65.921,4.2489,22.23,1071.9,550.29,122.3,11.244,2.4123,77.451
10.338,1015.2,100.13,3.6757,19.119,1050.2,546.42,110.73,10.41,4.9884,81.6
17.693,1012.7,86.798,3.1724,22.094,1064.7,549.85,121.26,11.167,2.6319,52.178
18.744,1019.2,92.807,3.1808,25.119,1087.4,550.1,132.71,12.001,1.4486,71.082
21.425,1013.6,90.838,3.5485,21.313,1065.3,550.05,115.87,10.92,4.6427,56.465
32.857,1007.7,44.828,4.3284,26.643,1094.6,550.21,133.4,12.265,1.5107,67.224
18.158,1010.7,82.595,4.2752,24.903,1089,550.11,134.88,12.057,1.2887,73.013
26.272,1010,84.425,4.2327,25.989,1091.7,550.09,133.71,12.157,1.1334,56.343
26.921,1007.3,63.22,4.4718,25.871,1091.4,549.84,133.82,12.131,1.0991,66.102
28.78,1010.1,58.997,4.4657,26.367,1094.8,549.93,135.13,12.423,4.5072,73.077
21.174,1017.6,79.722,3.7148,23.851,1075.7,549.95,127.52,11.729,1.8782,51.214
20.895,1005.9,76.32,3.8466,25.741,1082.9,549.91,134.81,11.998,1.1864,61.671
7.9822,999.7,99.878,6.2923,32.366,1099.9,531.59,161.38,13.812,0.33136,68.645
21.084,1014.2,91.743,3.8364,22.153,1071.1,550.01,120.33,11.159,2.0149,59.981
8.9245,1005.9,96.629,2.8442,24.056,1085.3,549.96,135.54,11.901,1.2965,74.549
8.2515,1025.1,93.566,4.3386,20.094,1033.8,532.69,110.16,10.525,8.0693,107.04
16.796,1020,88.14,4.098,31.708,1100,534.88,152.84,13.595,1.7615,73.159
11.744,1013.5,78.148,4.4074,24.471,1086.6,549.9,134.72,11.917,1.7181,81.328
14.136,1021.8,72.962,3.9119,24.414,1088.9,550.04,134.76,12.041,1.7379,76.77
10.283,1006.4,83.959,2.6524,19.008,1046,550.03,109.69,10.341,4.9891,70.329
30.026,1009.9,59.482,4.1921,25.253,1079.3,549.79,127.81,11.87,1.9853,52.955
27.86,1006.7,65.22,4.589,27.269,1098.9,550.1,137.77,12.47,1.28,68.455
30.596,1011,32.588,4.296,30.579,1100,543.57,150.47,13.282,1.4482,53.851
13.593,1002.7,95.465,3.733,25.863,1079.8,549.87,136.14,11.915,1.112,61.522
22.769,1010.6,92.933,5.2875,25.713,1092.5,550.25,135.26,12.216,2.2203,77.754
8.5224,1029.9,88.374,2.9068,18.882,1037.7,543.23,108.1,10.423,6.2772,76.011
9.0347,1008.8,83.496,3.5281,24.727,1083.6,550.45,133.11,11.801,1.2842,64.336
26.009,1011.1,53.686,4.1462,25.456,1090.8,549.59,133.8,12.104,1.6483,71.933
31.626,1007.5,47.894,4.8447,29.96,1099.8,541.71,145.71,13.092,0.40252,58.63
23.46,1007.5,74.783,3.7768,24.254,1074.2,549.93,127.04,11.584,2.2197,51.422
13.342,1022.6,84.691,2.9427,21.364,1064.5,547.11,119.11,11.046,6.6215,85.324
25.659,1013.3,66.131,4.1479,25.785,1091.6,549.9,133.8,12.123,3.1742,82.817
31.111,1012.3,44.453,4.4486,30.016,1100.3,540.53,147.37,13.261,0.65326,57.791
28.729,1005.2,76.886,5.1138,29.552,1099.4,548.09,143.89,12.974,1.3361,53.273
20.644,1013.6,85.359,4.7188,30.952,1100,536.33,152.44,13.506,1.1174,59.095
19.631,1015.5,88.549,3.288,20.808,1064.8,549.89,115.81,10.884,2.4243,59.078
11.855,1007.9,79.623,3.4631,26.653,1085.6,550.07,138.66,12.2,2.252,64.349
14.126,1005,99.267,2.4951,18.462,1047.5,549.81,105.3,10.132,3.7254,61.59
28.282,1012.2,58.91,3.8939,25.57,1091.3,550.28,132.26,12.088,1.3581,65.056
15.485,1014.9,51.828,3.2294,29.522,1075.7,549.38,129.7,11.667,3.8947,65.12
12.228,1025.9,84.673,4.0548,33.46,1099.9,526.54,162.13,14.169,1.0251,60.618
27.733,1010.3,44.893,4.7922,27.543,1083.7,545.1,135.02,12.395,2.0997,59.376
19.604,1011,65.246,3.2519,23.548,1072.6,550.08,127.01,11.581,2.1478,54.548
14.753,1004.5,83.057,4.0422,31.503,1099.9,534.2,156.41,13.619,0.79916,71.511
16.689,1011.8,84.329,4.1179,19.647,1055.8,550.07,111.27,10.498,4.3814,83.282
28.959,1016.8,36.836,3.0289,20.16,1052.4,550.13,108.43,10.69,3.9285,51.101
5.8333,1018,100.1,3.9371,24.873,1076.5,550.02,134.47,11.76,1.1901,64.917
23.409,1008.9,95.703,4.7242,23.004,1074.7,550.09,121.75,11.272,3.0579,54.272
18.68,1017.2,87.132,4.2498,19.833,1057.6,550.1,110.92,10.482,3.7226,66.505
32.499,1011.6,42.792,4.5472,26.84,1097.2,549.75,134.14,12.534,0.43973,68.582
13.901,1021.6,63.719,3.6331,25.008,1077.7,549.79,132.95,11.868,1.182,61.974
18.817,1020.7,49.74,4.2364,37.474,1100,539.69,151.95,13.518,2.6069,56.181
24.758,1013.4,71.662,3.9809,20.051,1058,549.87,109.01,10.6,3.8478,51.653
29.697,1013.6,52.101,4.4997,30.362,1099.9,543.55,148.62,13.27,1.3486,51.517
22.252,1012.2,48.068,3.9153,19.062,1051.6,549.98,105.71,10.24,2.3265,63.777
29.744,1001.8,64.348,4.2485,25.583,1080.1,549.73,127.82,11.834,1.4457,50.514
29.889,1008.2,60.465,4.529,29.738,1099.8,541.55,146.79,13.187,0.29448,54.533
20.606,1015.6,73.411,3.4054,24.479,1079.3,550.08,130.92,11.841,1.7607,46.033
20.259,1007.4,91.989,3.0966,19.798,1058.1,550.01,111.77,10.551,2.5253,57.254
22.301,1013.2,94.364,3.8781,22.819,1075.9,549.96,123.01,11.349,3.0022,58.521
19.793,1015.2,97.819,4.0959,22.783,1067.8,549.98,122.05,11.377,2.6849,53.693
28.487,1009.4,58.272,3.6505,23.703,1079.8,549.51,123.99,11.545,0.82954,56.925
14.411,1016.6,77.18,2.3544,21.861,1046.1,550,108.7,10.369,2.6931,62.696
33.805,1010.1,55.118,4.4119,26.829,1096.3,550.07,133.86,12.48,1.5082,62.896
25.766,1004.7,63.215,3.8551,26.151,1092.5,549.11,135.49,12.29,0.34065,62.935
15.975,1019.5,53.259,4.1961,33.487,1100,538.08,155.03,13.633,3.0044,59.155
3.4249,1022.8,84.703,2.576,20.757,1060.6,549.69,121.27,11.059,2.9508,77.148
25.796,1011.5,88.759,4.1923,25.756,1091.8,550.29,133.82,12.22,1.6393,58.022
24.082,1012.4,85.03,3.6964,23.071,1067.6,550.08,120.73,11.282,1.1027,41.291
7.6322,1010.5,97.879,2.98,23.47,1082.7,549.73,133.37,11.776,2.7148,81.648
8.165,1023.4,77.83,2.2297,18.65,1040.5,545.79,108.87,10.401,6.1902,80.268
25.4,1013.8,65.634,3.9716,25.592,1090.6,549.55,133.82,12.149,1.2185,68.841
24.751,1017.4,57.571,4.2604,30.125,1100.1,543.51,150.11,13.29,1.1556,48.514
10.084,1022.7,67.3,4.7721,33.023,1100.1,526.27,163.57,14.168,0.42837,67.311
10.764,1014.2,75.103,4.48,23.331,1078.8,549.94,129.33,11.559,1.6695,81.284
24.177,1013.2,72.058,4.1614,25.78,1091.4,549.89,133.76,12.162,1.4905,67.969
5.0607,1005.9,71.686,3.0629,23.388,1073.8,550.19,132.2,11.531,3.7188,77.452
33.223,1008,49.414,4.4053,29.661,1099.9,546.83,146.42,13.012,1.8284,56.26
21.329,1015.1,91.028,3.0346,19.877,1059.2,550.12,111.77,10.542,2.1158,55.95
21.744,1012.9,83.477,3.4308,21.521,1061.3,549.78,117.13,11.08,3.5417,47.162
8.7096,1029.2,75.747,2.8394,21.257,1059.4,549.5,118.94,10.962,6.2204,75.69
26.657,1014.6,59.984,3.7084,21.089,1064.6,549.98,113.42,10.869,2.9114,55.751
15.761,1029.3,51.769,3.2895,23.296,1073.6,548.42,128.6,11.78,3.2587,65.656
8.1108,1017.2,73.6,4.5132,24.225,1085,549.65,134.69,11.798,1.7373,90.708
10.025,1011.3,88.844,4.7466,26.845,1089.5,542.04,143.37,12.572,1.0714,73.172
25.885,1010.6,59.486,3.8348,26.214,1093.6,550.17,134.54,12.206,1.6316,66.459
20.13,1012.6,83.028,4.4426,31.018,1100,534.87,153.92,13.623,0.78179,58.964
4.0967,1013.8,93.839,4.2913,33.744,1099.9,527.31,164.95,14.129,1.3779,69.952
15.936,1019.9,93.028,3.2084,24.621,1086.1,549.89,132.05,11.967,1.015,59.327
10.958,1001.8,97.01,4.2847,24.223,1085.6,550.27,134.75,11.791,1.0442,72.842
23.035,1015.5,61.175,4.6426,31.091,1100,541.79,153.2,13.433,1.3903,57.303
28.903,1007.4,54.819,4.3553,28.419,1090.9,546.73,141.05,12.647,1.8442,57.872
20.746,1011.4,92.98,3.0486,19.619,1057.5,550.08,110.78,10.587,2.8004,56.319
9.6312,1019.8,87.801,4.0878,19.859,1045.7,541.61,111.71,10.664,4.8365,87.533
28.077,1005.3,75.389,5.0829,29.629,1099.8,547.89,144.55,12.999,1.538,54.714
12.169,1023.8,86.85,3.7063,22.986,1075.7,546.43,129.63,11.681,5.6805,82.163
25.539,1013.6,55.079,4.69,30.359,1100.1,542.88,150.5,13.299,1.7206,58.817
26.982,1008.2,68.489,4.1982,25.265,1079,550.12,127.8,11.787,1.8982,52.59
12.603,1016.7,87.907,3.4939,23.945,1085.3,549.96,133.71,11.764,1.4814,67.986
27.17,1008.2,74.214,5.1134,30.367,1099.9,545.11,146.54,13.174,1.0845,54.317
20.309,1015.6,82.216,3.8193,24.419,1079.5,549.65,130.78,11.952,1.5685,51.402
13.38,1001.3,87.232,3.2405,24.39,1085.7,549.95,134.46,11.965,2.2109,75.565
25.441,1010.9,46.49,4.224,30.811,1100,542.47,151.25,13.416,1.9529,53.981
1.0693,1031.1,63.791,4.1693,34.575,1100.1,529,167.5,14.33,2.3791,60.097
21.838,1015.4,84.77,4.0902,26.128,1085.7,550.5,134.97,12.207,1.5486,55.175
10.993,1019.6,89.868,3.9238,23.136,1079.8,549.91,129.71,11.588,1.7166,76.486
8.7296,1022.1,84.156,2.7202,18.863,1038.1,546.44,107.24,10.214,6.7309,88.939
14.793,1010.2,83.553,3.2979,23.752,1076.3,550.31,130.37,11.769,2.3517,50.818
29.013,1001.8,70.739,4.2369,25.544,1079.9,549.71,128.06,11.926,1.5082,48.471
9.0097,1020.4,93.482,3.3072,24.761,1076,549.96,133.94,11.828,0.89018,67.967
23.03,1010.4,50.486,3.8113,25.564,1092.2,550.37,134.77,12.122,0.90315,76.148
14.074,1019.7,90.835,3.8922,20.802,1065.9,549.56,117.99,10.922,4.5531,82.292
14.657,1017,79.817,4.8099,24.737,1086.9,549.62,133.69,12.068,1.9676,76.951
22.352,1016.1,72.089,3.8291,25.653,1083.3,550.14,134.11,12.099,2.2364,61.819
9.7394,1025.7,92.143,2.4296,18.951,1046.6,545.23,108.71,10.318,4.9516,76.737
29.498,1004.6,52.171,4.4604,30.499,1099.7,539.6,147.86,13.227,0.42957,56.293
23.49,1009.7,60.792,4.1646,22.335,1071,550.03,118.44,11.095,1.7167,59.197
20.062,1009.2,69.095,4.0362,23.556,1079.4,550.22,126.42,11.567,3.008,70.218
11.91,1013.8,86.377,2.9202,24.342,1085.9,549.88,134.3,11.952,1.3319,73.423
26.506,1018,40.8,3.9281,25.256,1079.9,549.97,127.3,11.944,1.594,54.436
13.25,1018.9,79.806,3.858,24.077,1086.5,550.07,133.72,11.905,1.6664,76.907
26.8,1011.4,75.994,3.7543,20.788,1062.1,550.17,111.2,10.718,3.9903,49.07
31.676,1018.6,40.853,3.2804,20.483,1054.8,549.51,109.47,10.74,3.9799,50.484
21.262,1016.9,76.621,4.5528,29.765,1096.8,542.26,147.52,13.246,1.9069,55.681
20.979,1011.5,95.838,5.1065,29.9,1099.9,546.13,147.43,13.126,1.4844,54.885
15.424,1007.9,72.089,5.7786,31.66,1100.1,534.91,154.41,13.598,0.78953,71.211
18.926,1010.1,84.631,2.8458,19.409,1054.5,549.99,108.58,10.434,3.8853,58.327
32.231,1009.1,39.002,4.4552,30.431,1099.9,543.85,148.91,13.277,1.6531,56.062
21.897,1010.2,75.393,4.3487,30.616,1100,543.26,148.75,13.282,0.77126,50.439
18.324,1008.3,93.012,5.1913,29.373,1099.7,547.18,147.71,12.98,1.1625,58.179
29.759,1014.5,42.078,4.3233,29.663,1100.2,545.98,147.89,13.168,1.4544,47.469
32.426,1007.2,53.814,4.4153,26.705,1095,550.11,133.76,12.386,1.0674,63.158
14.704,1008.2,42.494,3.5414,27.266,1084.3,548.12,137.83,12.233,3.2707,67.714
20.664,1008.5,77.751,3.6408,24.061,1083.9,549.89,130.1,11.811,0.96129,62.128
22.795,1008.6,75.206,3.8245,24.437,1077.8,550.14,129.29,11.842,2.6206,48.553
6.8118,1020.2,76.466,3.3169,24.749,1082.9,549.94,137.71,12.086,2.514,70.562
16.473,1015.3,97.492,4.5098,24.733,1079.3,550,131.19,11.89,1.7684,58.091
25.352,1003.3,58.105,5.1999,25.711,1089.6,549.55,133.59,11.939,1.0497,73.313
22.184,1004.3,76.75,2.9535,19.728,1057.1,550.06,110.82,10.52,2.0079,57.248
12.055,1018.3,85.429,3.4129,23.734,1076.1,549.9,130.95,11.663,2.8751,58.444
18.85,1006,87.462,3.6977,25.151,1088.8,550.16,134.7,11.931,0.7304,63.02
20.64,1013.9,92.527,3.4971,19.634,1057,549.94,109.51,10.464,4.1463,52.208
16.041,1015.2,92.481,3.6186,24.117,1086.2,549.99,133.14,11.905,1.3609,64.804
14.837,1032.6,54.497,2.6249,18.069,1030.7,540.87,101.88,10.314,11.935,94.128
19.715,1017.8,73.53,2.6762,18.346,1045.5,547.49,102.55,10.226,8.3109,90.981
16.77,1013.5,97.874,3.1618,19.9,1049.2,549.93,110.02,10.36,5.8025,62.04
4.9542,1002.5,99.839,4.339,19.807,1038.7,537.23,112.2,10.509,7.422,92.095
23.604,1008.1,76.645,4.2627,25.645,1090.3,550.18,134.09,12.094,1.5996,64.703
10.899,1009.4,96.326,3.059,25.847,1094.2,550.09,141.68,12.248,1.3191,81.368
1.4518,1021.5,61.996,3.0252,25.074,1077.7,549.91,133.43,11.856,1.3132,83.181
28.389,1005,65.146,4.7094,30.253,1099.9,540.78,149.18,13.219,1.0864,57.887
18.876,1012.7,85.733,3.5715,19.457,1056.3,550.06,109.81,10.545,4.9671,61.355
24.45,1013.2,73.268,4.0444,25.439,1089.7,550.02,132.79,12.067,1.5948,59.149
18.798,1020.4,79.009,4.0714,22.513,1066.2,550.12,120.61,11.321,2.7322,59.081
14.349,1007.2,80.061,4.5422,34.514,1100,530.14,160.16,14.101,1.7899,51.932
22.531,1015,81.394,3.5235,21.387,1065.7,549.99,115.47,11.007,4.2511,56.268
29.157,1012.6,46.844,3.5409,20.243,1059.3,549.99,109.61,10.6,2.1949,52.818
18.69,1013.9,93.365,3.7503,24.612,1088,550.14,133.71,11.937,0.86314,61.128
20.635,1005.2,71.819,3.6597,24.964,1088.8,550.3,133.87,12.124,0.91118,67.036
16.289,1008.8,75.918,3.3861,25.053,1077.2,550.01,132.99,11.832,0.92888,61.891
22.983,1009.9,81.151,3.0008,20.21,1052.2,550.06,110.81,10.529,3.915,53.212
6.6347,1017.7,100.1,3.5969,22.525,1063,550.07,123.64,11.249,1.9906,65.355
14.868,1015.5,57.701,4.5328,31.875,1100.1,530.77,158.5,13.864,1.4578,57.141
15.208,1008,68.736,4.4661,23.983,1085.4,549.93,132.69,11.862,0.95054,85.078
24.799,1012.3,78.807,3.854,24.84,1077.9,550,128.34,11.727,1.4554,51.144
10.067,1022.2,84.769,2.7008,18.79,1044.6,548.76,108.98,10.334,6.5028,69.158
3.7438,1032.7,84.513,4.6731,34.416,1099.9,526.4,167.64,14.48,1.9489,46.725
13.957,1007.6,96.885,4.2611,29.233,1093.9,538.53,148.66,13.047,0.97812,62.693
9.5298,1007.9,94.106,2.9156,18.89,1030.9,537.45,103.75,10.229,11.928,96.882
28.681,1012.9,48.152,4.3726,30.485,1099.9,543.3,148.34,13.295,1.312,49.885
7.4612,1016,89.754,4.9048,23.959,1084.2,549.98,134.14,11.887,1.1687,78.651
20.85,1010.4,42.794,3.7766,27.342,1094.2,550.01,141.9,12.541,1.8662,61.881
10.739,1014.7,74.291,2.4711,21.638,1064.3,550.07,123.04,11.063,2.3285,68.547
10.776,1021.3,74.586,4.56,33.659,1100.1,534.6,162.21,13.992,1.143,80.142
16.783,1005.8,87.914,4.5478,31.571,1099.9,533.66,156.58,13.681,1.3566,64.046
12.29,1002.5,94.149,3.2512,24.237,1084.1,549.89,133.38,11.847,1.0198,72.865
9.953,1014.5,95.052,3.3081,24.368,1086.3,549.97,135.1,11.952,1.5653,73.555
15.209,1016.3,58.256,4.4232,31.621,1099.6,532.16,157.74,13.89,1.7473,65.613
23.827,1008.5,92.834,3.972,25.154,1078.5,550.29,129.05,11.899,1.2221,41.301
28.927,1014.9,58.525,3.3952,20.649,1062.9,550.09,111.74,10.773,1.8477,50.742
3.141,1026.7,78.938,2.7544,23.217,1084,549.88,134.87,11.844,1.8306,82.147
5.2828,1023.7,86.487,3.9368,23.421,1085.3,549.86,134.49,11.958,1.4185,83.454
12.525,1006.2,66.588,2.569,22.451,1048.3,549.82,110.83,10.475,4.9349,71.016
15.219,1019.9,78.512,4.2167,32.254,1100,532.51,154.94,13.765,1.2889,77.136
28.693,996.66,70.562,4.2909,28.856,1099.6,545.34,142.23,12.883,0.26398,60.96
7.2318,1016.3,83.997,3.9098,23.769,1084.6,549.98,134.92,11.898,0.84736,78.374
10.977,1008.9,88.028,4.3307,24.543,1086.3,550.12,134.73,11.904,1.6861,77.933
20.347,1006,81.468,3.3592,22.765,1075.1,549.78,124.06,11.317,1.975,67.855
23.984,1009.5,74.544,4.0035,25.253,1088.5,549.6,132.93,12.052,1.6687,62.8
27.252,1018.8,61.581,4.4176,25.894,1093.4,549.72,133.59,12.099,0.027221,62.458
21.312,1014.5,96.603,3.8731,25.009,1089.3,550.05,133.56,12.048,0.68565,58.769
19.72,1017.2,93.231,4.5118,20.179,1059.8,550.17,112.17,10.613,3.3712,62.119
22.61,1013.9,62.912,4.4477,31.243,1099.9,534.71,154.43,13.618,0.7652,58.587
31.517,1008.3,57.352,4.5061,29.708,1100,541.7,145.72,13.152,0.32276,55.855
10.802,1022.3,79.573,2.3243,20.252,1043.6,548.16,108.87,10.273,3.5846,69.734
18.325,1014.3,68.125,2.9432,19.468,1057.3,549.81,111.71,10.556,3.3121,68.904
20.206,1006.7,82.218,3.6746,22.712,1073.7,549.82,122.3,11.287,2.101,60.457
18.773,1020.7,84.036,3.6492,19.944,1051.4,550.15,110.02,10.604,4.778,60.345
20.174,1011.7,82.917,3.6368,24.994,1088.3,549.95,132.98,11.924,2.275,68.612
10.853,1011.1,84.138,3.2266,25.882,1075,549.92,130.8,11.62,2.9852,66.432
26.95,1007.9,84.248,5.3954,26.319,1093.8,549.88,134.58,12.324,1.3347,57.559
33.223,1005.3,62.784,4.1768,24.769,1075.2,550.02,123.28,11.749,1.4758,45.359
23.642,1016.1,66.376,5.2598,31.516,1099.9,540.28,151.79,13.525,1.128,52.193
31.666,1009.3,55.102,4.4493,26.503,1094.5,549.86,133.79,12.286,1.6355,69.5
17.508,1005.6,79.816,3.3656,25.019,1088,549.69,133.66,12,1.4833,68.972
18.238,1015.1,92.074,3.4761,19.357,1056,550.06,109.75,10.45,4.7172,60.012
7.7326,1018.6,68.226,5.1323,33.135,1100.1,526.34,164.35,14.183,0.61821,69.996
7.3107,1023.2,74.948,4.4771,32.647,1100,532.24,162.79,14.093,1.9643,48.236
4.4129,1014.9,90.127,2.9926,23.713,1083.9,550.06,135.22,11.702,1.8859,85.132
13.365,1019.1,75.197,3.2548,23.485,1075.9,550.26,130.27,11.79,2.3053,57.053
25.186,1007.6,63.561,4.5186,30.839,1099.7,538.18,149.2,13.283,0.37239,59.817
23.765,1016.1,84.079,4.1293,25.51,1090.6,549.81,133.83,12.134,1.7893,62.615
30.519,1001,45.886,4.0521,25.418,1079.3,549.93,127.54,11.846,1.3384,53.726
17.08,1009.3,61.197,2.6512,19.082,1045.1,550.01,107.11,10.336,5.7113,62.157
20.053,1013,75.755,4.0937,31.679,1100,535.95,152.51,13.51,0.99389,76.716
19.02,1016.3,81.936,3.798,24.414,1079.8,549.99,131.54,11.856,2.3832,55.92
13.072,1018.2,85.189,2.5225,22.196,1058.5,549.71,117.78,10.87,2.971,67.052
16.181,1013.3,96.119,4.4639,25.391,1090.3,549.93,135.16,12.041,2.2285,70.797
